handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_f5184ac4-efa0-5c75-ff9b-4d6bc3a920ee,Product,BLAZY SUSAN  CONES,<p>BLAZY SUSAN PINK CONE 1.25 -50CT JAR</p><p>BLAZY SUSAN PINK CONE KING SIZE 50CT JAR</p><p>BLAZY SUSAN PURPLE CONE KING SIZE -50CT JAR</p><p>BLAZY SUSAN UNBLEACHED CONE 1.25 -50CT JAR</p><p>BLAZY SUSAN UNBLEACHED CONE KING SIZE 50CT JAR</p><p>BLAZY SUSAN PURPLE CONE 1.25 6 PACK</p><p>BLAZY SUSAN PINK CONE 1.25 6 PACK</p><p>BLAZY SUSAN PURPLE CONE KINGSIZE 3 PACK</p><p>BLAZY SUSAN PURPLE CONE SHORTYS 53MM&nbsp;</p><p>BLAZY SUSAN PINK CONE SHORTYS 53MM 12CT</p><p>BLAZY SUSAN UNBLEACHED CONE 1.25 (BROWN) – 6 PACK</p>,8948f1_fca54635d7da41c69e821ed18d2859c5~mv2.jpeg;8948f1_ff30618bf3814cce938ad48e6ccdf0ea~mv2.jpeg;8948f1_8a1e3031a15a4e1597418bfbf20c08ee~mv2.jpeg;8948f1_9359b3c181ab4ee39300d64485d5c81c~mv2.jpeg;8948f1_d42499adfc5f49cc930a0e1f0404f546~mv2.jpeg;8948f1_8d75c217fc4d4d1cb0629b0f2cdec5f2~mv2.jpeg;8948f1_89f401bd75be4e9bbf906111715d1281~mv2.jpeg;8948f1_5e01999991384012a2b757d1f1c937ba~mv2.jpeg;8948f1_17d2ca6761a4497fab9863dc3d24a451~mv2.jpeg;8948f1_f961162edd004f64828f5cccfa32215d~mv2.jpeg;8948f1_19f45ff0121c480d8981ec16471fe534~mv2.jpeg,PAPERS & WRAPS,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_871e8c93-eb1c-ba14-c7f5-046e273dab83,Product,SUPER FIRST CRUSHED FRONTO GRABBA,,8948f1_9d55efe108864dc6b2e4d44313fd2e0a~mv2.jpeg;8948f1_ecf4939446bb43ca85aa056bc8365694~mv2.jpeg;8948f1_9abf4618beb6445582170ccffbb81055~mv2.jpeg;8948f1_61803d876cbb45b792efad2569629657~mv2.jpeg,PAPERS & WRAPS,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b7f3b758-4f4b-8616-56c8-7f348b05214e,Product,RP JAVA MINIS,<p>RP JAVA MADURO X-PRESS (4X32)</p><p>RP JAVA MINT X-PRESS (4X32)</p>,8948f1_ca4386ec69d14ed48d6524b643545b36~mv2.jpg;8948f1_485e9d2f5c174356bee5be3500c2aef4~mv2.jpg,Cigar;JAVA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f333f8f5-1140-b193-e08f-eca3f257c3ca,Product,CAO BELLA VANILLA CIGARILLOS,<p>CAO BELLA VANILLA CIGARILLOS</p>,8948f1_b06ec3c6d5074d2ebef51bbf574b3d6c~mv2.jpg,CAO,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_299149a9-cff0-682e-66ea-08a3b74f2d12,Product,LA GLORIA CUBANA PETIT,<p>LGC GLORIAS PETIT&nbsp;</p>,8948f1_b734f6d3021647199822c80abb2557b9~mv2.jpeg,Cigar;LA GLORIA CUBANA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c9270277-20f7-5199-8a98-83977b5980b3,Product,PARTAGAS MINIS,<p>PARTAGAS MINIATURAS</p><p>PARTAGAS BLACK LABEL PRONTOS</p>,8948f1_ef5ac316abcd41cc84524ec837d07088~mv2.jpg;8948f1_bbfd75efa4a946c6b0c24833c07f1549~mv2.jpg,Cigar;PARTAGAS,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_eb3aa94d-fb50-0d57-3482-b41500e7c157,Product,HOYO EXCALIBUR MINIS,<p>HOYO EXCALIBUR CIGARILLOS&nbsp;</p><p>HOYO EXCALIBUR MINIATURES&nbsp;</p>,8948f1_cd2ca3417784476d975fdb0d9f47ef6a~mv2.jpg;8948f1_fe6133d50782469cb336b9e28760ac5c~mv2.jpg,Cigar;HOYO DE MONTERREY,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8081e445-7c64-db5c-1943-ca4a3af664e7,Product,PUNCH  TINS,<p>&nbsp;</p><p>PUNCH BOLOS TIN</p><p>PUNCH CIGARILLOS</p><p>&nbsp;</p><p>PUNCH MINIATURES TIN</p>,8948f1_0b11a05d72b74513be343595e94fbb47~mv2.jpg;8948f1_8b6fe01a6bb442ecaad78651bd5eaad4~mv2.jpg;8948f1_04909dff25e143659c8d486282c7ccfb~mv2.jpg,Cigar;PUNCH,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0c37be80-cf6f-e91f-f68c-50775474c760,Product,MACANUDO MINIS,<p>MACANUDO ASCOTS CAFE TINS</p><p>MACANUDO ASCOTS CAFE MADURO TIN</p><p>MACANUDO INSPIRADO ORANGE MINIS TIN</p><p>MACANUDO INSPIRADO WHITE MINIS TIN</p><p>&nbsp;</p><p>MACANUDO MINIATURE CAFE CIGARILLOS</p>,8948f1_57030b675f064e6c928561f5055f586d~mv2.jpg;8948f1_d39a2f28821e44d9831a02eb9a2ed350~mv2.jpg;8948f1_31a9bb8813884f64b772d9bc01f6e03d~mv2.jpg;8948f1_09f359585abc4257a72bc680a27ff4c4~mv2.jpg;8948f1_34c54eb589e848cbbf8cfcd13e04351e~mv2.jpg,Cigar;MACANUDO,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_55d205d7-2e93-0f0e-df2e-1d4ce68c6d79,Product,ARTURO FUENTE CUBANITOS,<p>ARTURO FUENTE CUBANITOS</p>,8948f1_da755b61e81d40fcb1fa81bb45dc0b1c~mv2.jpg,ARTURO FUENTE;Cigar,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e54937a0-eb70-6c4d-93f3-0ad920d6df3f,Product,HAVANA HONEYS CIGARILLOS,<p>HAVANA HONEYS RUM CIGARILLOS&nbsp;</p><p>HAVANA HONEYS VANILLA CIGARILLOS&nbsp;</p>,8948f1_ccfd5379205c4061875557493a7f40cd~mv2.jpg;8948f1_04c7c5d2ae134a55acbceaaa014b23be~mv2.jpg,Cigar;HAVAN HONEY,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48278e85-65f8-3ac2-0917-70f568707db0,Product,ACID MINIS,<p>ACID KRUSH BLUE TINS</p><p>ACID KRUSH RED TIN</p><p>ACID KRUSH GOLD TIN</p>,8948f1_d193ceea5e8c4f979d041862519fe0ed~mv2.jpg;8948f1_936c756b171b4bd0b9334fe4675165c1~mv2.jpg;8948f1_0916acd650854f40bbe4be2dd8f668e4~mv2.jpg,Cigar;DREW ESTATE ACID,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_619c088a-be25-01ef-8fdd-b4be2aae81ed,Product,TATIANA MINI TINS,<p>TATIANA MINI TINS CHERRY&nbsp;</p><p>TATIANA MINI TINS CHOCOLATE</p><p>TATIANA MINI TINS HONEY</p><p>TATIANA MINI TINS RUM</p><p>TATIANA MINI TINS VANILLA</p>,8948f1_21d0b00607084e4fa16a270d7c393296~mv2.jpg;8948f1_b50c5f8e3735489e9f5ff0ba3dfa5f17~mv2.jpg;8948f1_5d3ec8fab3ec442ea8ebc23b4e247213~mv2.jpg;8948f1_dacf2e6bb24d4e78ba340fe1be2987ac~mv2.jpg;8948f1_5c3e85b2cfb444fbb67187d0ed90f15d~mv2.jpg,Cigar;TATIANA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b4cc8fcb-90da-974b-47c5-f4c8e3e7d7fe,Product,MONTECRISTO MINIS,<p>MONTECRISTO MEMORIES TINS</p><p>&nbsp;</p><p>MONTECRISTO PRONTO PETITE TIN</p>,8948f1_284125d005e644b4a773e279abe70608~mv2.jpg;8948f1_4df426d63a714402b8e4933db67d1cab~mv2.jpg,Cigar;MONTECRISTO,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_609cf72e-eece-ed13-2b26-34b519d81d4a,Product,ROMEO Y JULIETA MINIS,<p>ROMEO Y JULIETA MINI AROMA RED</p><p>ROMEO Y JULIETA MINI MILD BLUE TINS</p><p>ROMEO Y JULIETA MINI ORIGINAL WHITE TINS</p><p>ROMEO Y JULIETA RESERVA REAL MINUTOS PETITES TIN</p><p>&nbsp;</p><p>ROMEO Y JULIETA 1875 MINUTOS PETIT BULLY TIN</p><p>ROMEO Y JULIETA 1875 ROMEOS TIN</p>,8948f1_d16aa64dc1c64e528161c5c04a80e5da~mv2.jpg;8948f1_fa4b5c9d45a04e01a4ceaf43015e95a0~mv2.jpg;8948f1_1d3108cdce37431ebc7613968afc9526~mv2.jpg;8948f1_55a196bcf2d34c4ebba4367150532459~mv2.jpg;8948f1_936798663c014f24ac4f24ff3a892af4~mv2.jpg;8948f1_3951b231faef485b9d43a78f0150bfd1~mv2.jpg,Cigar;ROMEO Y JULIETA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_72779ad3-eaa4-0b08-1af3-abed749c4071,Product,COHIBA MINIS,<p>COHIBA RED DOT MINIATURE&nbsp;</p><p>COHIBA RED DOT PEQUENOS</p><p>COHIBA BLACK PEQUENO TINS</p><p>COHIBA NICARAGUA PEQUENOS</p><p>COHIBA BLUE PEQUENOS&nbsp;</p>,8948f1_1d939b2b3d5c49a49b0b2c5160d8a1b8~mv2.jpg;8948f1_a990a80dd65347109a612f63fd6f310a~mv2.jpg;8948f1_de5b1ac508404f87ace8dd7cde1653a7~mv2.jpg;8948f1_ffcb8e2977e248c0b0ce93494ea61f47~mv2.jpg;8948f1_088d577eae0549fcabcecf909eef0344~mv2.jpg,Cigar;COHIBA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e0c9ed4e-78b6-7065-a7bf-fe31d56fa45c,Product,DAVIDOFF MINI CIGARILLOS,<p>DAVIDOFF MINI CIGARILLOS GOLD</p><p>DAVIDOFF MINI CIGARILLOS&nbsp;SILVER&nbsp;</p><p>DAVIDOFF PRIMEROS DOMINICAN</p><p>DAVIDOFF PRIMEROS ESCURIO</p><p>DAVIDOFF WINSTON BELICOSO</p>,8948f1_d0e0cdfcef154aa2bf042304d43cc263~mv2.jpg;8948f1_51d09b282d9f4948b67784d4d04d386e~mv2.jpg;8948f1_98e4f74eb6cf476f8f4e1a80fb4a44a6~mv2.jpg;8948f1_04efe1ce4e7c4a259d4062a8a602d3f4~mv2.jpg;8948f1_c2d7cd24ef5142d0a59fb41b16b7de23~mv2.jpg;8948f1_bb81da53bb4944b9915f22c3925e2f4e~mv2.jpg,Cigar;DAVIDOFF,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_38a2d0a4-662d-159e-668e-7d226af627b6,Product,ASHTON MINIS,<p>ASHTON HALF CORONA&nbsp;</p><p>ASHTON CIGARILLOS</p><p>ASHTON CIGARILLOS CONNECTICUT</p><p>ASHTON HALF CORONA CONNECTICUT</p><p>ASHTON SENORITAS</p><p>ASHTON ESQUIRE MADURO&nbsp;</p>,8948f1_b2a10fbfd29f4cb895feb10bbbd9bb7f~mv2.jpg;8948f1_cfbf3bb6bfe24a128cdd920546f2545e~mv2.jpg;8948f1_7dfb222bcf094c87b69248f20c631306~mv2.jpg;8948f1_081150744bb844d791965ed586190e86~mv2.jpg;8948f1_d57162526fc74914a35e7132a30d6e64~mv2.jpg;8948f1_ae38288ff5a546ff950f373d451eed71~mv2.jpg;8948f1_87f75457e7a745eab678101e0beb8873~mv2.jpg,ASHTON;Cigar,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b965d7b9-8510-e0f8-ccb4-66b4bfcb0010,Product,TATIANA CLASSIC,<p>TATIANA CLASSIC (6 X 44) RUM</p><p>TATIANA CLASSIC (6 X 44) CHERRY</p><p>&nbsp;</p><p>TATIANA CLASSIC (6 X 44) CHOCOLATE</p><p>TATIANA CLASSIC (6 X 44) VANILLA</p>,8948f1_e7bbe0a381004742ae22944bcb9e8bf8~mv2.jpg;8948f1_7222e6c1bced443292592f3755ee4889~mv2.jpg;8948f1_3578f567a2a54f478df1e7f58a0984ce~mv2.jpg;8948f1_6b68c126a52a4c3caba7262a459cfcd1~mv2.jpg,Cigar;TATIANA,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9e44dce1-4c9a-1453-b225-1c101ecb3f7b,Product,DREW ESTATE ISLA DEL SOL,<p>&nbsp;</p><p>DREW ESTATE ISLA DEL SOL CHURCHILL</p><p>DREW ESTATE ISLA DEL SOL ROBUSTO</p>,8948f1_1b4987a3c88d4e4180f676feab12cae6~mv2.jpg;8948f1_04b4507410f94db2bdb94fc434962abb~mv2.jpg,Cigar;DREW ESTATE ISLA DEL SOL,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ffdb989-13b0-d747-f62a-3a5580d6e35f,Product,TABAK,<p>TABAK DULCE ROBUSTO</p><p>TABAK DULCE TORO&nbsp;</p><p>TABAK NEGRA TORO</p><p>TABAK NEGRA ROBUSTO</p>,8948f1_b6f59bae33024072a4a8d93927ed1a87~mv2.jpg;8948f1_436ef35f1e424d21be1afd79053cc54d~mv2.jpg;8948f1_8b3707fe07b44172ac4fa1ae1cc38dd6~mv2.jpg;8948f1_2d9f21dfc05a495089cb772daef0e838~mv2.jpg,Cigar;TABAK,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ac83c6ce-bffe-7ce1-28e7-d008fef09ec7,Product,DREW ESTATE DEADWOOD,<p>DEADWOOD FAT BOTTOM BETTY GORDITO</p><p>DEADWOOD FAT BOTTOM BETTY ROBUSTO</p><p>DEADWOOD SWEET JANE&nbsp;</p>,8948f1_9c2c5c44bf684d32a3fbd14fdd3c833f~mv2.jpg;8948f1_5f4c074a6c604e7fa0a139efdcf594af~mv2.jpg;8948f1_2a3eab5972e74e1c9b88d5b4a4047e6a~mv2.jpg,Cigar;DREW ESTATE DEADWOOD,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b5783243-61fa-7764-8526-e8e2010af2be,Product,DREW ESTATE ACID,<p>ACID EARTHINESS</p><p>ACID BLONDIE BELICOSO</p><p>ACID KUBA GRANDE</p><p>ACID KUBA KUBA&nbsp;</p><p>ACID KUBA MADURO</p><p>ACID TWENTY CT TORO</p><p>ACID TWENTY</p><p>ACID BLONDIE MADURO</p><p>ACID 1400CC</p><p>ACID BLONDIE CANDELA</p><p>ACID DEEP DISH&nbsp;</p><p>ACID COLD INFUSION</p><p>ACID ROAM&nbsp;</p><p>ACID TOAST</p><p>ACID EXTRA ORDINARY LARRY</p>,8948f1_96772be8c1ff40ed986e37cdb01c09a2~mv2.jpg;8948f1_71f9ee5e4fce4e9aa365e6de126d3e2e~mv2.jpg;8948f1_96b8094bfb344a5381536a13283520dc~mv2.jpg;8948f1_9a44242c31104a7aa92572d13b4c8149~mv2.jpg;8948f1_53360942d499466fb9d4399255832fb3~mv2.jpg;8948f1_d08bb3d5eeb14a7b8ace5fcc1367fc12~mv2.jpg;8948f1_1e1a5f1ee9474a399bcfa04e92830fd6~mv2.jpg;8948f1_45397236e2af459d87a7c12b4e173927~mv2.jpg;8948f1_78c3c1be429c49e2a84f099e91c59047~mv2.jpg;8948f1_0662c5485f4442ce9e64de1969234dff~mv2.jpg;8948f1_264dcdb87bbc4b7092711983480df205~mv2.jpg;8948f1_b0b95a59ea0a4a81a7e9399124d7fe74~mv2.jpg;8948f1_7de6f8aae4f8442facde903f9f4377ee~mv2.jpg;8948f1_66f7e6859e504f958f36debb7918aa2d~mv2.jpg;8948f1_3863ddd105cc4a0bb0deda8d0079eb53~mv2.jpg,Cigar;DREW ESTATE ACID,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
